NUTS 3 CODE;LAU CODE;LAU NAME NATIONAL;LAU NAME LATIN;CHANGE (Y/N);POPULATION;TOTAL AREA (m2);DEGURBA;DEG change compared to last year;COASTAL AREA (yes/no);COAST change compared to last year;CITY_ID;CITY_ID change compared to last year;CITY_NAME;GREATER_CITY_ID;GREATER_CITY_ID change compared to last year;GREATER_CITY_NAME;FUA_ID;FUA_ID change compared to last year;FUA_NAME
NL323;GM0383;Castricum;;no;35772;49682215;2;no;yes;no;;;;;;;NL002L3;no;Amsterdam
NL329;GM0384;Diemen;;no;29196;11994447;1;no;no;no;NL002C2;no;Greater Amsterdam;;;;NL002L3;no;Amsterdam
NL329;GM0385;Edam-Volendam;;no;36099;54333001;2;no;no;no;;;;;;;NL002L3;no;Amsterdam
NL321;GM0388;Enkhuizen;;no;18507;12684364;2;no;no;no;;;;;;;NL002L3;no;Amsterdam
NL324;GM0392;Haarlem;;no;161265;29167067;1;no;yes;no;NL501C2;no;Greater Haarlem;;;;NL002L3;no;Amsterdam
NL329;GM0394;Haarlemmermeer;;yes;154235;197478284;1;no;no;no;NL508C1;no;Haarlemmermeer;;;;NL002L3;no;Amsterdam
NL323;GM0396;Heemskerk;;no;39164;27336835;1;no;yes;no;NL528C1;no;Greater Heemskerk;;;;NL002L3;no;Amsterdam
NL324;GM0397;Heemstede;;no;27286;9177266;1;no;yes;no;NL501C2;no;Greater Haarlem;;;;NL002L3;no;Amsterdam
NL328;GM0398;Heerhugowaard;;no;56742;38208801;1;no;no;no;NL514C2;no;Greater Alkmaar;;;;NL514L3;no;Alkmaar
NL328;GM0399;Heiloo;;no;23464;18701603;1;no;yes;no;NL514C2;no;Greater Alkmaar;;;;NL514L3;no;Alkmaar
NL321;GM0400;Den Helder;;no;55604;45252449;2;no;yes;no;;;;;;;;;
NL327;GM0402;Hilversum;;no;90238;45611084;1;no;no;no;NL018C1;no;Hilversum;;;;NL002L3;no;Amsterdam
NL321;GM0405;Hoorn;;no;73004;20377369;1;no;no;no;NL031C1;no;Hoorn;;;;NL002L3;no;Amsterdam
NL327;GM0406;Huizen;;no;41273;15805805;2;no;no;no;;;;;;;NL002L3;no;Amsterdam
NL329;GM0415;Landsmeer;;no;11488;22525420;2;no;no;no;;;;;;;NL002L3;no;Amsterdam
NL328;GM0416;Langedijk;;no;27992;23884701;2;no;no;no;;;;;;;NL514L3;no;Alkmaar
NL327;GM0417;Laren;;no;11195;12410486;2;no;no;no;;;;;;;NL002L3;no;Amsterdam
NL321;GM0420;Medemblik;;no;44809;121415568;2;no;no;no;;;;;;;NL002L3;no;Amsterdam
NL329;GM0431;Oostzaan;;no;9757;11527292;2;no;no;no;;;;;;;NL002L3;no;Amsterdam
NL321;GM0432;Opmeer;;no;11779;41498790;2;no;no;no;;;;;;;NL002L3;no;Amsterdam
NL329;GM0437;Ouder-Amstel;;no;13916;24075581;1;no;no;no;NL002C2;no;Greater Amsterdam;;;;NL002L3;no;Amsterdam
NL329;GM0439;Purmerend;;no;80117;23153986;1;no;no;no;NL023C1;no;Purmerend;;;;NL002L3;no;Amsterdam
